_id,spending_behavior,processing_timestamp,applicant_info.gender,applicant_info.zip_code,financials.annual_income,financials.credit_history_months,financials.debt_to_income,financials.savings_balance,decision.loan_approved,decision.rejection_reason,loan_purpose,decision.interest_rate,decision.approved_amount,financials.annual_salary,notes,applicant_info.email_hash,applicant_info.ssn_hash,applicant_info.ip_masked,applicant_info.age_band
app_200,"[{'category': 'Shopping', 'amount': 480}, {'category': 'Rent', 'amount': 790}, {'category': 'Alcohol', 'amount': 247}]",2024-01-15T00:00:00Z,Male,10036,73000,23,0.2,31212,False,algorithm_risk_score,,,,,,116648a7761525746032d0ab323ceb01f50d11f793516437a5cf80804fc6fb9d,2caf30528c21a10e1307b27f9dbbfc312f0c00d46b333ef8ddabb44b2511ccbd,192.168.48.0,18-25
app_037,"[{'category': 'Rent', 'amount': 608}, {'category': 'Dining', 'amount': 96}, {'category': 'Healthcare', 'amount': 243}]",,M,10032,78000,51,0.18,17915,False,algorithm_risk_score,,,,,,c3522c0b54ef9045c73186bcabb53f8e512360ed17e9cc2dcedbadcf4d61c15a,2f7da45fefdcfb2c5b4f5b6f1465c22054c36e04fc77c181341c5163d64405ac,10.1.102.0,26-35
app_215,"[{'category': 'Rent', 'amount': 109}]",,Male,10075,61000,41,0.21,37909,True,,vacation,3.7,59000.0,,,b299e7d6a37e183bab209eb8df919652117dd16ed16698502ce48f29ecbfbb34,db120edcee2366a48d6d77c2db8c64c5536b8dc3c3c524f2e128d056a3cbbead,10.240.193.0,36-45
app_024,"[{'category': 'Fitness', 'amount': 575}]",,Male,10077,103000,70,0.35,0,True,,,4.3,34000.0,,,6fbd2478748a29faa143392f28d955133e346d096739636d8e1d96a152896657,c835719be02018987096d6e49529a24b1d7e7ab35c84b16ae1571c41172b26c9,192.168.175.0,36-45
app_184,"[{'category': 'Entertainment', 'amount': 463}]",2024-01-15T00:00:00Z,M,10080,57000,14,0.23,31763,False,algorithm_risk_score,,,,,,f24e7cc1450ee9aa26b833e0593b2420fbfd59b8ad263608d5a2a76a6df561ab,41c7de40dc49185886e6ecb37346ec9eabce16087b7508d53cb93b1275b83b1e,172.29.125.0,26-35
app_275,"[{'category': 'Entertainment', 'amount': 571}]",,F,10019,110000,33,0.05,49933,False,algorithm_risk_score,,,,,,8843b2c0ec23996a07effc6c47ec8716d075d20499b963c8e328c01f7dc5d9f0,a0a5f9cec1ea52aaf9c8176d747854c0d1f60780674ac380d3b1d817182ff7a7,172.25.58.0,36-45
app_099,"[{'category': 'Dining', 'amount': 458}]",,Male,10022,55000,61,0.17,30159,True,,,5.6,27000.0,,,03c1a6e2b0058c3775a190b81ba8ceeebdd6ca5493bdd90f9ddd399410cf4323,51280b2e354d80c69fa9bcdf99dbc3b8229a17adb12086c090fefc8cf7bc13d3,10.62.62.0,36-45
app_246,"[{'category': 'Healthcare', 'amount': 478}]",,F,90223,82000,31,0.29,21809,True,,auto,2.8,38000.0,,,67c6d13632c3404f0007ec683b34a767d20044bb57f9b89ce00041e5bb5c6836,04adc2ff16245195e17eba7e550fbff5ab83bd5fee56bbd5dcc11abafffde16f,192.168.158.0,26-35
app_042,"[{'category': 'Insurance', 'amount': 153}, {'category': 'Dining', 'amount': 468}]",,Male,10044,69000,43,0.41,15974,False,algorithm_risk_score,,,,,,a7f7177878859512b05c8a3de55772bfd34459cd3e45f60ede2d80951e4a053e,fb789d550e179a5c56987d22f016090eaf5745279753ff9a7533a52f444038dc,192.168.91.0,26-35
app_348,"[{'category': 'Fitness', 'amount': 199}, {'category': 'Travel', 'amount': 851}]",,Male,10080,55000,5,0.41,13794,False,insufficient_credit_history,,,,,,f6a2496402be6666d36fc4f471e2e114ba7853288c106b00a679d02b69e1a534,0befb0709774eeb4b98b473b2d4c2f38e9a1bb30854b184c13fabe65f660e88a,172.28.12.0,36-45
app_309,"[{'category': 'Rent', 'amount': 626}, {'category': 'Transportation', 'amount': 688}]",,Female,90250,63000,99,0.37,21769,True,,,5.1,72000.0,,,fb3173bce79d1d6e7a0c0b4fa9608152558516db4d09728b007f93489d72acfd,a631a570116ff5d0d6565f3d5f26f2e71c8405775f238ebcf077b1863f0663d7,192.168.231.0,46-60
app_320,"[{'category': 'Travel', 'amount': 403}, {'category': 'Utilities', 'amount': 706}]",,Male,90286,168000,58,0.35,13088,True,,,5.9,71000.0,,,94c8f6c7c6b3db4b82f290bb8d2de72e73a2e154dd9227fa217f28cdcbb5e711,9e014d36286f5e3665515b9ea58496b7a901a48c364388bde33ddcb016a14422,192.168.52.0,46-60
app_007,"[{'category': 'Transportation', 'amount': 290}, {'category': 'Healthcare', 'amount': 416}]",,Female,90284,92000,77,0.08,21353,True,,,5.2,27000.0,,,b45a8b4d60df52cfc9a9fb3f56a89b605869c0c1c7c04a474caa873873261b0d,919d319a790a0f1cd6834c7442b5ce52f68556411236ae32a51467d711864bfc,192.168.11.0,36-45
app_439,"[{'category': 'Shopping', 'amount': 685}, {'category': 'Fitness', 'amount': 97}, {'category': 'Dining', 'amount': 838}]",,Male,10019,87000,72,0.12,50675,True,,,4.2,61000.0,,,feeb0e5430c4b19a8aa1159df5f7491177e0ebc59df014eb4e452d5a00732968,b48669d621fd362128bcbda82d71bbd6a8948dc699413de788953c8fd393d05a,192.168.98.0,46-60
app_307,"[{'category': 'Shopping', 'amount': 482}]",,M,10097,53000,83,0.1,17420,True,,,6.1,57000.0,,,27b7e80c92c43adb99d98be1e98287a380aa3122359e101eb498bf058cd6f0b4,23dfc1e1a65a17a682387be7c1226edfc89ec6ba5fe875fd01c306a2e72c7889,10.189.246.0,26-35
app_064,"[{'category': 'Fitness', 'amount': 409}, {'category': 'Shopping', 'amount': 433}]",,Male,10009,81000,64,0.37,40674,False,algorithm_risk_score,,,,,,0295cdaa70530d9a179e5422dfcac41cba978aa33a942763aad005225e70d889,86714d8cc3382c3f1c1c476953ed48f57d3fa3ea167569b814b86f0f5378d20f,192.168.73.0,26-35
app_101,"[{'category': 'Groceries', 'amount': 527}, {'category': 'Entertainment', 'amount': 464}]",,Female,90255,55000,0,0.3,15364,False,algorithm_risk_score,,,,,,f411dc3a23ddf721881c1157c6661398b81e843bc0550fedefdbf3f723d65e13,d6720055119726b068dd509f629f182753467f7625de7bdef6e8101d5ea3baff,172.30.237.0,26-35
app_133,"[{'category': 'Insurance', 'amount': 319}, {'category': 'Dining', 'amount': 407}]",,Male,10022,70000,72,0.16,33883,False,algorithm_risk_score,,,,,,05cbb9ed24c253551b4d2862fc818901e8482870d1fc6679c84ea22fb5204465,c5a413e66ffacd2e2fa3a41576dbd7b9002492b16c39d1ef8c14a0021a58b2d0,172.25.65.0,36-45
app_214,"[{'category': 'Utilities', 'amount': 786}]",,Female,90277,116000,84,0.31,41962,True,,debt_consolidation,4.1,57000.0,,,1b8be61fdffd14ac5b2ba2471225ee60491bb390bf92239d876b4dcfb0858d27,84661d1b371fc623f0aea29acc63f24e7edbbcdf35c2bcdf31e93ae3ce7210bf,172.17.208.0,60+
